date,symbol,Short Percentage Of Float
01/12/04,DKS,4.46
01/12/04,DLA,0.2
01/12/04,DLTR,3.41
01/12/04,DLX,7.24
01/12/04,DMLP,0.04
01/12/04,DNB,0.49
01/12/04,DNR,0.72
01/12/04,DO,6.18
01/12/04,DORM,0.09
01/12/04,DOV,1.66
01/12/04,DOW,1.29
01/12/04,DOX,1.42
01/12/04,DPW,0.11
01/12/04,DRAM,0.02
01/12/04,DRE,0.84
01/12/04,DRI,2.77
01/12/04,DRIV,8.14
01/12/04,DRQ,0.99
01/12/04,DRRX,9.34
01/12/04,DS,1.12
01/12/04,DSPG,0.73
01/12/04,DST,6.3
01/12/04,DSWL,0.38
01/12/04,DTE,2.28
01/12/04,DTLK,0.12
01/12/04,DTRM,0.14
01/12/04,DTSI,0.84
01/12/04,DUK,3.52
01/12/04,DV,4.6
01/12/04,DVA,1.16
01/12/04,DVD,0.07
01/12/04,DVN,1.77
01/12/04,DWCH,0.07
01/12/04,DX,0.4
01/12/04,DXLG,8.34
01/12/04,DXPE,0.01
01/12/04,DXR,0.25
01/12/04,DXYN,0.87
01/12/04,DY,4.21
01/12/04,DYAX,0.52
01/12/04,DYNT,0.06
01/12/04,DZSI,0.8
01/12/04,EA,4.6
01/12/04,EAC,0.33
01/12/04,EAT,3.74
01/12/04,EBAY,5.19
01/12/04,EBF,0.44
01/12/04,EBIX,0.49
01/12/04,ECL,1.24
01/12/04,ECOL,0.14
01/12/04,ECPG,0.02
01/12/04,ECTE,5.63
01/12/04,ED,3.71
01/12/04,EDE,2.25
01/12/04,EDGW,0.21
01/12/04,EDUC,0.03
01/12/04,EE,1.42
01/12/04,EEFT,2.43
01/12/04,EEI,0.04
01/12/04,EEP,0.27
01/12/04,EEQ,1.34
01/12/04,EFII,2.83
01/12/04,EFOI,0.62
01/12/04,EFX,3.15
01/12/04,EGAN,0.45
01/12/04,EGAS,0.16
01/12/04,EGBN,0.05
01/12/04,EGHT,11.06
01/12/04,EGN,1.3
01/12/04,EGOV,1.36
01/12/04,EGP,1.56
01/12/04,EIX,1.96
01/12/04,EL,1.46
01/12/04,ELGX,0.04
01/12/04,ELNK,4.97
01/12/04,ELON,6.06
01/12/04,ELRC,0.23
01/12/04,ELS,2.02
01/12/04,ELSE,0.06
01/12/04,ELX,5.63
01/12/04,ELY,8.66
01/12/04,EMAN,2.26
01/12/04,EMC,1.29
01/12/04,EMCI,0.08
01/12/04,EME,10.9
01/12/04,EMKR,2.93
01/12/04,EML,0.05
01/12/04,EMMS,5.29
01/12/04,EMN,3.97
01/12/04,EMR,0.95
01/12/04,ENDP,2.29
01/12/04,ENG,0.01
01/12/04,ENH,0.04
01/12/04,ENLK,0.03
01/12/04,ENTG,3.83
01/12/04,ENVE,0.29
01/12/04,ENZ,8.3
01/12/04,ENZN,8
01/12/04,EOG,1.94
01/12/04,EPAX,0.22
01/12/04,EPAY,1.17
01/12/04,EPC,1.38
01/12/04,EPD,0.47
01/12/04,EPIQ,10.83
01/12/04,EPR,0.96
01/12/04,EQC,0.52
01/12/04,EQIX,1.97
01/12/04,EQR,1.58
01/12/04,EQT,1.7
01/12/04,EQY,0.42
01/12/04,ERB,0.01
01/12/04,ERIE,0.96
01/12/04,ERS,0.02
01/12/04,ES,2.9
01/12/04,ESBF,0.65
01/12/04,ESBK,0.04
01/12/04,ESC,0.15
01/12/04,ESCA,0.06
01/12/04,ESE,2.9
01/12/04,ESGR,0.17
01/12/04,ESIO,2.86
01/12/04,ESL,1
01/12/04,ESLT,0.03
01/12/04,ESMC,0.36
01/12/04,ESND,1.88
01/12/04,ESP,0.7
01/12/04,ESRX,4.67
01/12/04,ESS,3.95
01/12/04,ESV,3.25
01/12/04,ETFC,4.23
01/12/04,ETH,7.21
01/12/04,ETM,2.43
01/12/04,ETN,0.84
01/12/04,ETP,0.36
01/12/04,ETR,1.22
01/12/04,EV,1.59
01/12/04,EVBN,0.02
01/12/04,EVBS,0.68
01/12/04,EVC,0.58
01/12/04,EVHC,8.96
01/12/04,EVI,0.01
01/12/04,EVLV,3.28
01/12/04,EVOL,18.57
01/12/04,EW,3.64
01/12/04,EWBC,1.92
01/12/04,EXAC,0.77
01/12/04,EXAR,2.56
01/12/04,EXAS,13.12
01/12/04,EXC,1.01
01/12/04,EXEL,2.54
01/12/04,EXP,1.31
01/12/04,EXPD,3.47
01/12/04,EXPO,0.36
01/12/04,EXTR,5.48
01/12/04,EZCH,0.08
01/12/04,EZPW,3.36
01/12/04,F,4.51
01/12/04,FAC,0.31
01/12/04,FALC,10.12
01/12/04,FARM,0.21
01/12/04,FARO,7.65
01/12/04,FAST,6.88
01/12/04,FBC,9.74
01/12/04,FBNC,0.18
01/12/04,FBP,0.66
01/12/04,FBSS,0.24
01/12/04,FC,0.06
01/12/04,FCAP,0.03
01/12/04,FCBC,0.31
01/12/04,FCCO,0.04
01/12/04,FCCY,0.08
01/12/04,FCE.A,0.36
01/12/04,FCEL,10.11
01/12/04,FCF,0.8
01/12/04,FCFS,0.8
01/12/04,FCH,4.9
01/12/04,FCN,15.67
01/12/04,FCNCA,0.23
01/12/04,FCS,2.16
01/12/04,FCX,4.68
01/12/04,FDEF,0.15
01/12/04,FDO,1.21
01/12/04,FDP,7.96
01/12/04,FDS,11.9
01/12/04,FDX,1.22
01/12/04,FE,1.89
01/12/04,FEIC,7.15
01/12/04,FEIM,0.25
01/12/04,FELE,0.19
01/12/04,FFBC,1.05
01/12/04,FFG,0.29
01/12/04,FFIC,0.86
01/12/04,FFIN,0.27
01/12/04,FFIV,5.11
01/12/04,FFKT,0.27
01/12/04,FFKY,0.48
01/12/04,FGP,0.31
01/12/04,FHN,5.98
01/12/04,FICO,4.74
01/12/04,FII,1.19
01/12/04,FINL,6
01/12/04,FIS,1.07
01/12/04,FISI,0.82
01/12/04,FISV,3.34
01/12/04,FITB,1.33
01/12/04,FIX,0.26
01/12/04,FIZZ,0.07
01/12/04,FL,4.49
01/12/04,FLEX,3.47
01/12/04,FLIC,0.18
01/12/04,FLIR,8.05
01/12/04,FLO,1.27
01/12/04,FLR,6.69
01/12/04,FLS,1.79
01/12/04,FLWS,0.68
01/12/04,FLXS,0.06
01/12/04,FMBI,0.39
01/12/04,FMC,2.17
01/12/04,FMD,0.05
01/12/04,FMER,1.93
01/12/04,FNB,1.76
01/12/04,FNFG,2.82
01/12/04,FNHC,2.2
01/12/04,FNLC,0.05
01/12/04,FNSR,7.84
01/12/04,FOE,5.58
01/12/04,FONR,0.25
01/12/04,FORD,0.1
01/12/04,FORM,0.58
01/12/04,FORR,0.82
01/12/04,FOSL,1.72
01/12/04,FOXA,0.45
01/12/04,FPO,0.56
01/12/04,FR,4.56
01/12/04,FRBK,0.14
01/12/04,FRED,5.93
01/12/04,FRM,0.07
01/12/04,FRME,0.45
01/12/04,FRO,0.77
01/12/04,FRPH,0.01
01/12/04,FRS,0.22
01/12/04,FRT,1.02
01/12/04,FSBK,1.2
01/12/04,FSS,4.2
01/12/04,FSTR,0.01
01/12/04,FSYS,7.11
01/12/04,FTEK,0.44
01/12/04,FTR,3.54
01/12/04,FUL,1.34
01/12/04,FULT,1.31
01/12/04,FUN,0.57
01/12/04,FUNC,0.2
01/12/04,FUR,0.05
01/12/04,FUSB,0.41
01/12/04,FVE,0.9
01/12/04,FWRD,1.27
01/12/04,FXEN,1.88
01/12/04,GABC,0.84
01/12/04,GAIA,0.12
01/12/04,GALT,0.2
01/12/04,GAS,0.74
01/12/04,GATX,8.04
01/12/04,GBCI,0.74
01/12/04,GBL,2.93
01/12/04,GBLI,0.07
01/12/04,GBR,0.16
01/12/04,GBX,0.22
01/12/04,GCO,6.75
01/12/04,GD,1.13
01/12/04,GDEN,3.23
01/12/04,GE,0.39
01/12/04,GEC,4.39
01/12/04,GEF,0.52
01/12/04,GEL,0.02
01/12/04,GEO,0.85
01/12/04,GEOS,0.11
01/12/04,GERN,14.49
01/12/04,GES,2.66
01/12/04,GEVA,18.25
01/12/04,GFED,0.04
01/12/04,GFF,8.64
01/12/04,GGG,0.56
01/12/04,GGP,1.3
01/12/04,GHC,0.69
01/12/04,GHM,0.04
01/12/04,GIFI,0.21
01/12/04,GIGA,0.01
01/12/04,GIGM,0.2
01/12/04,GIII,0.2
01/12/04,GILD,3.23
01/12/04,GILT,0.9
01/12/04,GIS,1.67
01/12/04,GK,0.87
01/12/04,GKNT,11.32
01/12/04,GLAD,1.76
01/12/04,GLBZ,0.09
01/12/04,GLCH,0.85
01/12/04,GLDC,0.02
01/12/04,GLNG,1
01/12/04,GLOW,0.73
01/12/04,GLT,1.44
01/12/04,GLW,3.09
01/12/04,GMCR,3.28
01/12/04,GME,3.78
01/12/04,GNCMA,0.41
01/12/04,GNTX,4.61
01/12/04,GNVC,0.99
01/12/04,GOGL,0.94
01/12/04,GOOD,0.04
01/12/04,GPC,1.82
01/12/04,GPI,5.32
01/12/04,GPIC,0.02
01/12/04,GPK,0.01
01/12/04,GPN,2.56
01/12/04,GPS,3.05
01/12/04,GPX,0.46
01/12/04,GRA,0.81
01/12/04,GRC,0.28
01/12/04,GRIF,0.35
01/12/04,GRMN,2.5
01/12/04,GROW,0.01
01/12/04,GS,2.17
01/12/04,GSBC,0.44
01/12/04,GSOL,0.01
01/12/04,GT,15.21
01/12/04,GTI,3.07
01/12/04,GTIM,0.11
01/12/04,GTIV,2.21
01/12/04,GTY,1.42
01/12/04,GV,0.1
01/12/04,GVA,3.71
01/12/04,GWR,3.03
01/12/04,GWW,1.6
01/12/04,GXP,3.07
01/12/04,GYRO,0.24
01/12/04,HA,0.6
01/12/04,HAE,3.03
01/12/04,HAFC,0.64
01/12/04,HAIN,3.01
01/12/04,HAL,2.88
01/12/04,HAR,2.09
01/12/04,HAS,2.93
01/12/04,HAST,0.18
